date_id;CO₂-Emissionsfaktor des Strommix;Strompreis
1;306.6760951;40.16
2;283.6582929;27.51
3;274.4464299;13.84
4;264.971641;-1.5
5;257.6908613;27.62
6;255.1833961;18.04
7;254.1497066;7.32
8;256.5332734;1.18
9;256.1477157;14.75
10;254.5810584;7.65
11;257.142661;1.87
12;258.6337114;-1.9
13;256.0081718;10.16
14;257.2352636;5.7
15;257.5544624;0.17
16;258.8071967;-3.23
17;251.3831088;4.2
18;249.2549741;6
19;248.6377292;1.08
20;248.2934901;4.31
21;246.2829663;0.16
22;247.1372449;-2.92
23;248.1854406;1.48
24;249.8745142;-6.73
25;244.294435;-26.89
26;243.6912834;-19.1
27;242.3433814;-18.89
28;241.0154756;-10.17
29;240.0752593;-40.87
30;238.9450309;-30
31;237.8247958;-7.54
32;238.6906242;-1.59
33;232.5799823;-48.29
34;229.4092096;-27.32
35;227.6553279;-0.95
36;227.2146121;4.55
37;232.7495108;-18.33
38;234.6309014;-13.77
39;233.7016826;-6.12
40;231.8763556;-7.02
41;229.5267804;-11.8
42;226.7780426;-9.68
43;224.3929113;-7.61
44;221.0025201;-15.07
45;218.1511011;-11.89
46;215.9738838;-4.54
47;213.9921061;-10.64
48;213.1385806;-12.94
49;212.6179968;-16.28
50;213.3358856;-12.1
51;213.1764397;-14.58
52;213.3309414;-15.23
53;209.1572835;-15.26
54;208.9147028;-14.37
55;209.1435034;-18.02
56;208.523697;-13.18
57;208.0224872;-8.62
58;209.0846137;-3.59
59;208.9315485;-4.92
60;209.2542668;-5.31
61;207.9616958;-6.5
62;207.9160417;-3.2
63;206.1263399;4.37
64;204.2053801;7.33
65;200.1767485;-6.7
66;197.6850597;-0.9
67;196.011348;10.19
68;194.4217534;16.81
69;197.2842102;-0.14
70;196.0125578;4.64
71;195.1826613;13.47
72;192.5923501;13.41
73;194.3728578;9.97
74;195.3963838;9.99
75;195.6009927;9.7
76;197.3338135;7.44
77;200.988215;12.79
78;202.6806566;12.15
79;203.9567912;8.06
80;205.1600025;-1
81;203.676362;-0.9
82;205.8343187;-0.9
83;207.0899812;-2
84;208.8672651;-10.34
85;211.2354192;2.44
86;212.9011567;-3.92
87;214.7305801;-11.32
88;216.9191356;-17.46
89;213.7512384;6.6
90;213.2956203;2.74
91;214.7271544;-22.26
92;216.6868855;-33.2
93;217.5906404;-20.8
94;220.6315808;-6.7
95;223.0418167;-18.48
96;225.5220258;-29.25
97;235.4182232;9.88
98;238.4718262;0.55
99;240.525972;-7.68
100;241.9460822;-26.18
101;231.8215482;5.46
102;237.1854574;-0.76
103;231.556676;-3.22
104;234.2847555;-13.56
105;235.6434689;22.88
106;240.4999428;22.4
107;237.3039385;20.98
108;236.3766837;11.86
109;237.2073092;-4.49
110;237.5995867;-2.22
111;240.8023065;-6.28
112;239.1802972;-11.01
113;237.6637929;-22.03
114;236.3474447;-9.44
115;235.4775065;-1.92
116;237.4880465;-1
117;239.5511567;-11.32
118;240.1022967;-4.25
119;236.6709623;2.13
120;234.1058816;7.51
121;237.0426811;-24.46
122;240.6394804;-7.2
123;239.1892728;12.3
124;238.0241096;24.17
125;243.040846;1.82
126;247.7335802;14.55
127;251.7606018;32.88
128;253.7787538;44.24
129;257.6932309;31.3
130;264.3258219;43.7
131;270.5825122;50.03
132;274.035231;50.2
133;282.284728;41.9
134;290.2013912;48.6
135;292.6317806;50.2
136;294.9986318;49.2
137;292.4894392;48
138;289.9720499;45.96
139;288.9171298;48.02
140;287.7901226;38.28
141;283.5923946;47.98
142;284.7547064;47.43
143;284.7136232;49
144;287.6208466;43.85
145;289.082146;52.93
146;288.6818589;51.07
147;286.2892496;48.03
148;287.7651977;43.97
149;283.1620538;51.69
150;281.6565702;52.49
151;282.3339439;49
152;293.9124487;46.5
153;302.630876;46.06
154;307.5456282;47.82
155;315.3071243;57.9
156;324.2608568;59.3
157;332.7388067;44.48
158;347.1344779;50.86
159;356.2998873;61.16
160;365.61017;62.6
161;373.4803369;47.1
162;382.9771257;57
163;385.8375185;63.7
164;383.7594626;69.96
165;392.8859109;60.1
166;395.7252901;63.71
167;398.8356809;70.16
168;400.4356781;70.79
169;405.0412929;71.6
170;406.9303401;68.17
171;413.1453853;70.66
172;418.2113652;69.88
173;424.2155145;76.57
174;427.8666735;72.66
175;431.1597597;62.96
176;437.102712;60.1
177;443.51369;74.73
178;451.921089;70.67
179;457.185607;56.81
